"id_a","id_b","id_group","tau"
3,6,1,1
9,1,2,5
9,9,3,1
4,6,4,1
5,9,5,1
5,3,6,2
4,4,7,2
2,6,8,1
8,2,9,1
3,9,10,1
10,7,11,1
1,5,12,1
10,8,13,1
8,3,14,2
6,3,1,13
10,1,15,10
8,1,16,1
4,1,17,1
4,10,18,2
6,4,4,1
2,2,19,1
5,9,5,2
4,8,20,1
2,5,21,1
8,5,22,14
2,4,23,1
3,7,24,1
8,9,25,1
7,7,26,1
1,4,17,1
5,4,27,3
10,1,15,1
2,2,19,16
6,6,28,1
6,7,29,2
2,3,30,1
4,3,31,1
3,3,32,1
6,9,33,1
5,7,34,1
2,7,35,1
7,3,24,1
6,7,29,4
10,7,11,1
10,7,11,2
8,2,9,10
5,3,6,8
1,8,16,1
1,9,2,1
7,8,36,2
4,8,20,1
10,1,15,1
9,3,10,1
4,5,27,1
9,2,37,1
3,1,38,1
5,10,39,1
8,1,16,2
5,1,12,1
6,6,28,1
2,3,30,1
2,6,8,1
8,1,16,1
1,5,12,2
2,5,21,110
5,1,12,2
8,10,13,2
7,1,40,2
8,4,20,1
5,4,27,1
4,6,4,1
9,8,25,1
4,7,41,1
7,9,42,1
10,2,43,3
2,5,21,1
5,10,39,1
6,9,33,1
3,9,10,1
6,5,44,4
1,9,2,1
9,8,25,1
9,5,5,2
5,1,12,2
9,9,3,1
10,3,45,2
8,10,13,1
7,7,26,2
6,3,1,3
1,7,40,1
5,9,5,2
9,10,46,1
7,8,36,2
10,4,18,1
10,10,47,1
10,1,15,1
8,3,14,1
1,6,48,1
9,5,5,1
9,3,10,1
3,2,30,4
1,8,16,4
6,8,49,3
8,9,25,1
5,3,6,1
1,9,2,1
6,7,29,1
1,6,48,2
2,6,8,1
2,9,37,1
6,4,4,1
6,8,49,1
6,10,50,3
6,6,28,1
4,3,31,1
2,1,51,1
10,1,15,1
7,6,29,1
10,6,50,1
9,3,10,107
1,5,12,1
2,7,35,14
8,4,20,3
8,6,49,2
2,3,30,1
9,8,25,1
2,5,21,6
2,5,21,20
10,9,46,1
9,3,10,1
6,9,33,1
5,10,39,12
10,6,50,1
1,1,52,3
1,3,38,1
5,7,34,1
3,5,6,1
10,9,46,3
1,3,38,1
5,8,22,1
3,2,30,2
6,1,48,1
10,10,47,1
4,8,20,1
10,8,13,1
1,9,2,1
4,8,20,1
4,6,4,2
4,2,23,1
1,1,52,1
9,1,2,2
1,5,12,1
1,9,2,1
4,9,53,1
1,7,40,1
1,5,12,1
1,3,38,1
2,7,35,2
8,1,16,2
3,2,30,1
5,9,5,1
1,5,12,1
3,4,31,35
5,7,34,2
8,8,54,1
6,7,29,1
7,9,42,2
10,9,46,1
7,8,36,2
9,1,2,1
9,3,10,1
9,9,3,1
3,10,45,11
2,5,21,1
5,2,21,3
9,8,25,1
4,9,53,1
9,10,46,1
6,5,44,2
8,5,22,27
1,8,16,1
6,2,8,1
9,9,3,2
6,4,4,1
10,3,45,1
6,3,1,1
6,3,1,1
4,2,23,1
7,7,26,1
6,2,8,1
10,1,15,1
5,2,21,1
5,5,55,1
2,5,21,2
9,3,10,1
6,4,4,2
1,8,16,1
1,6,48,1
2,2,19,2
7,9,42,2
2,5,21,2
